apiVersion,reference,url,contentType,language,databaseLabel,database,summary,weight,content,accessRestriction,children,highlightedFragments,citation,metadata.identifier,metadata.es_ContentType,metadata.caName,metadata.es_SortDate,metadata.deadlineDate,metadata.description,metadata.language,metadata.title,metadata.type,metadata.url,metadata.esST_URL,metadata.callccm2Id,metadata.DATASOURCE,metadata.REFERENCE,metadata.projectAcronym,metadata.frameworkProgramme,metadata.startDate,metadata.deadlineModel,metadata.status,metadata.typesOfAction,fetched_at
2.155,14843COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064,text/plain,en,SEDIA,SEDIA,DIGI-ME Triple Degree Scholarship Award Procedure and Selection Rules at Grenoble Ecole de Management (EESC - GEM),0.0,DIGI-ME Triple Degree Scholarship Award Procedure and Selection Rules at Grenoble Ecole de Management (EESC - GEM),False,[],[],Specialised education programmes or modules in key capacity areas. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064,['DIGITAL-2022-SKILLS-03-SPECIALISED-EDU'],['text/plain'],['DIGI-ME Triple Degree Scholarship Award Procedure and Selection Rules at Grenoble Ecole de Management (EESC - GEM)'],['2026-09-18T00:00:00.000+0000'],['2026-11-18T18:00:00.000+0000'],[],['en'],['Specialised education programmes or modules in key capacity areas'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064'],['14843'],['SEDIA'],['14843COMPETITIVE_CALLen'],['DIGI-ME'],['43152860'],['2026-09-18T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,14842COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064,text/plain,en,SEDIA,SEDIA,DIGI-ME One Semester Exchange Scholarship Award Procedure and Selection Rules at Grenoble Ecole de Management (EESC - GEM),0.0,DIGI-ME One Semester Exchange Scholarship Award Procedure and Selection Rules at Grenoble Ecole de Management (EESC - GEM),False,[],[],Specialised education programmes or modules in key capacity areas. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064,['DIGITAL-2022-SKILLS-03-SPECIALISED-EDU'],['text/plain'],['DIGI-ME One Semester Exchange Scholarship Award Procedure and Selection Rules at Grenoble Ecole de Management (EESC - GEM)'],['2026-09-18T00:00:00.000+0000'],['2026-11-18T18:00:00.000+0000'],[],['en'],['Specialised education programmes or modules in key capacity areas'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45114064'],['14842'],['SEDIA'],['14842COMPETITIVE_CALLen'],['DIGI-ME'],['43152860'],['2026-09-18T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,15982COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/47589185,text/plain,en,SEDIA,SEDIA,Comprehensive and inclusive support for women and girls' victims of GBV,0.0,Comprehensive and inclusive support for women and girls' victims of GBV,False,[],[],Call for proposals to prevent and combat gender-based violence and violence against children. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/47589185,['CERV-2025-DAPHNE'],['text/plain'],"[""Comprehensive and inclusive support for women and girls' victims of GBV""]",['2026-09-18T00:00:00.000+0000'],"['2026-11-23T15:00:00.000+0000', '2027-03-01T15:00:00.000+0000']",[],['en'],['Call for proposals to prevent and combat gender-based violence and violence against children'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/47589185'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/47589185'],['15982'],['SEDIA'],['15982COMPETITIVE_CALLen'],['CoPower'],['43251589'],['2026-09-18T00:00:00.000+0000'],['multiple cut-off'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,187126PROSPECTSEN,https://webgate.ec.europa.eu/prospect/external/publishedcalls.htm?callId=187126,text/plain,en,SEDIA,SEDIA,Inclusive approaches and stakeholder participation,0.0,Inclusive approaches and stakeholder participation,False,[],[],Inclusive approaches and stakeholder participation. Available at: https://webgate.ec.europa.eu/prospect/external/publishedcalls.htm?callId=187126,['EuropeAid/187126/DD/ACT/VN'],['text/plain'],,['2026-09-17T10:00:44.000+0000'],['2026-11-03T11:00:56.000+0000'],,['en'],['Inclusive approaches and stakeholder participation'],['2'],['https://webgate.ec.europa.eu/prospect/external/publishedcalls.htm?callId=187126'],['https://webgate.ec.europa.eu/prospect/external/publishedcalls.htm?callId=187126'],,['SEDIA'],['187126PROSPECTSEN'],,['111111'],['2026-09-17T10:00:44.000+0000'],,['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,15941COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46813062,text/plain,en,SEDIA,SEDIA,"UPRAISE specialized learning activity/selfstanding
module in the Public Administration area: “Digital Transformation, Artificial Intelligence and
Virtual Worlds for Public Administration” at UNINA",0.0,"UPRAISE specialized learning activity/selfstanding
module in the Public Administration area: “Digital Transformation, Artificial Intelligence and
Virtual Worlds for Public Administration” at UNINA",False,[],[],Specialised Education Programmes in Key Capacity Areas. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46813062,['DIGITAL-2024-ADVANCED-DIGITAL-07-KEYCAPACITY'],['text/plain'],"['UPRAISE specialized learning activity/selfstanding\nmodule in the Public Administration area: “Digital Transformation, Artificial Intelligence and\nVirtual Worlds for Public Administration” at UNINA']",['2026-09-17T00:00:00.000+0000'],['2026-11-18T17:00:00.000+0000'],[],['en'],['Specialised Education Programmes in Key Capacity Areas'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46813062'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46813062'],['15941'],['SEDIA'],['15941COMPETITIVE_CALLen'],['UPRAISE'],['43152860'],['2026-09-17T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,15921COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46357639,text/plain,en,SEDIA,SEDIA,Együttható (Civil-Business),0.0,Együttható (Civil-Business),False,[],[],Call for proposals for civil society organisations active on protecting and promoting Union values: call to intermediaries (giving financial support to third parties). Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46357639,['CERV-2024-CITIZENS-VALUES'],['text/plain'],['Együttható (Civil-Business) '],['2026-09-16T00:00:00.000+0000'],['2026-11-10T12:00:00.000+0000'],[],['en'],['Call for proposals for civil society organisations active on protecting and promoting Union values: call to intermediaries (giving financial support to third parties)'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46357639'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46357639'],['15921'],['SEDIA'],['15921COMPETITIVE_CALLen'],['CLD'],['43251589'],['2026-09-16T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,13903COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45656490,text/plain,en,SEDIA,SEDIA,WoodStock Grants to support climate-smart wood construction solutions,0.0,WoodStock Grants to support climate-smart wood construction solutions,False,[],[],Climate-smart use of wood in the construction sector to support the New European Bauhaus. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45656490,['HORIZON-CL6-2024-CLIMATE-01-5'],['text/plain'],['WoodStock Grants to support climate-smart wood construction solutions'],['2026-09-15T00:00:00.000+0000'],['2026-12-15T17:00:00.000+0000'],"['<p>The construction sector is central to Europe\'s climate transition. At the same time, significant volumes of hardwood, residual wood, low-quality wood, and damaged wood remain until today underutilised. Unlocking this potential can reduce waste, strengthen local value chains, and create sustainable economic opportunities. The WoodStock grants support this transition by supporting one-year projects that combine innovation, circularity, and community engagement — embedding the <u><a href=""https://new-european-bauhaus.europa.eu/about/about-initiative"" rel=""noopener noreferrer"" target=""_blank"">New European Bauhaus</a></u> (NEB) values of together, sustainable, and beautiful into practical construction solutions.</p><p><strong>Funding may be used for one or more of the following activities</strong>:</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span><strong>Demonstration</strong>: Prototyping, experimental set-up of innovations related to WoodStock.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span><strong>Testing</strong>: Physical and mechanical validation, certification preparation.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span><strong>Co-creation</strong>: Activities with local actors and users to improve the solution and embed them in the local value chain and community.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span><strong>Training</strong>: Workshops to develop new skills and knowledge.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span><strong>Dissemination</strong>: Communication about the solutions to a wide audience (including video production) (max. 20% of total budget).,</li></ol><p>Eligible expenses may include equipment, laboratory testing, materials, logistics, multimedia production, and staff costs related to the above-mentioned activities.</p><p><strong>Selected projects are expected to</strong>:</p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Develop climate-smart wood construction solutions beyond TRL5.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Jointly organise one co-creation session with a <u><a href=""https://woodstockproject.eu/woodstock-living-labs"" rel=""noopener noreferrer"" target=""_blank"">WoodStock Living Lab</a></u> in the Netherlands, France, Slovenia, Poland, Ireland or Norway.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Document successful and unsuccessful innovation steps they have made, and lessons learned throughout the process.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Share experiences and lessons learned with the WoodStock consortium.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Contribute to the <u><a href=""https://woodstockproject.eu/woodbook"" rel=""noopener noreferrer"" target=""_blank"">WoodBook</a></u> and the <u><a href=""https://woodstockproject.eu/EWCO"" rel=""noopener noreferrer"" target=""_blank"">European Wood Construction Observatory</a></u>.</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Align dissemination with the WoodStock communication partner and contribute to WoodStock communication materials by providing input. </li></ol><p><strong>For questions about the call, please contact <a href=""mailto:grants@woodstockproject.eu"" rel=""noopener noreferrer"" target=""_blank"">grants@woodstockproject.eu</a>. </strong></p>']",['en'],['Climate-smart use of wood in the construction sector to support the New European Bauhaus'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45656490'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45656490'],['13903'],['SEDIA'],['13903COMPETITIVE_CALLen'],['WoodStock'],['43108390'],['2026-09-15T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,15662COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46041400,text/plain,en,SEDIA,SEDIA,KijaniSpace Innovation Programme,0.0,KijaniSpace Innovation Programme,False,[],[],Designing space-based downstream applications with international partners. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46041400,['HORIZON-EUSPA-2023-SPACE-01-46'],['text/plain'],['KijaniSpace Innovation Programme'],['2026-09-15T00:00:00.000+0000'],['2026-10-16T17:00:00.000+0000'],"['<p class=""ql-align-justify""><strong>Expected Innovation Experiments</strong></p><p class=""ql-align-justify"">Applicants will propose an innovation experiment that improves an existing product, service or application using Space-IoT Box resources. The proposed experiment must:</p><ol><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Address a relevant climate-smart agriculture challenge.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Use Copernicus, Earth Observation, IoT or other Space-IoT Box-supported resources.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Demonstrate how the existing product, service or application will be improved.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Present a clear implementation plan, expected outputs and budget.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Show potential value for users, customers or stakeholders in the Lake Victoria Basin region or the wider target countries.</li></ol><p class=""ql-align-justify""><strong>Example Application Areas</strong></p><p class=""ql-align-justify"">Applicants may propose innovation experiments linked to areas such as:</p><ol><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Weather and climate monitoring using IoT sensors and remote sensing data.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Water quality monitoring for fish farming.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Fish farming decision-support services.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Crop monitoring and crop phenology.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Farm input planning, irrigation support and farm management.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Crop disease risk monitoring and alerts.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Seasonal planning and agroclimatic zoning.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Precision agriculture using satellite imagery and IoT data.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Hydrological flow assessment using IoT observations and satellite image analysis.</li></ol><p class=""ql-align-justify"">These are example areas. Applicants may propose other relevant climate-smart agriculture solutions that can benefit from Space-IoT Box resources.</p><p class=""ql-align-justify""><strong>What Selected Applicants Will Receive</strong></p><p class=""ql-align-justify"">Selected SMEs and start-ups will receive:</p><ol><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Access to Space-IoT Box resources, tools, datasets and documentation.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Technical training on relevant Copernicus, Earth Observation and IoT resources.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Business development and entrepreneurial support.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Product and market validation support.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Pitch and investment readiness support.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Mentoring during the innovation experiment implementation period.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Opportunity to present the innovation experiment during the final showcase.</li><li data-list=""bullet"" class=""ql-align-justify""><span class=""ql-ui"" contenteditable=""false""></span>Financial support of up to EUR 5,000 for eligible costs linked to the approved innovation experiment.</li></ol>']",['en'],['Designing space-based downstream applications with international partners'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46041400'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/46041400'],['15662'],['SEDIA'],['15662COMPETITIVE_CALLen'],['KijaniSpace'],['43108390'],['2026-09-15T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,15681COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45659376,text/plain,en,SEDIA,SEDIA,SYSTEMEU - Financial Support to Third Parties (FSTP),0.0,SYSTEMEU - Financial Support to Third Parties (FSTP),False,[],[],Implementing co-funded action plans for connected regional innovation valleys. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45659376,['HORIZON-EIE-2023-CONNECT-03-01'],['text/plain'],['SYSTEMEU - Financial Support to Third Parties (FSTP) '],['2026-09-15T00:00:00.000+0000'],['2026-11-16T23:59:00.000+0000'],"['<p><br></p><p>The primary goal of the first SYSTEMEU Open Call (OC1) is to select and fund five to eight high-quality, cross-border collaborative innovation projects that focus on the digital transformation of the Healthcare, Energy, and Mobility sectors. The projects must operate at the application stage within the Technology Readiness Level (TRL) range of 6-8.</p>']",['en'],['Implementing co-funded action plans for connected regional innovation valleys'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45659376'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/45659376'],['15681'],['SEDIA'],['15681COMPETITIVE_CALLen'],['SYSTEMEU'],['43108390'],['2026-09-15T00:00:00.000+0000'],['single-stage'],['31094502'],,2026-09-20 09:08:50.362431+00:00
2.155,15661COMPETITIVE_CALLen,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/48213468,text/plain,en,SEDIA,SEDIA,ForestPathways – Building Knowledge and Solutions for Resilient Forests and Sustainable Forest-Based Futures,0.0,ForestPathways – Building Knowledge and Solutions for Resilient Forests and Sustainable Forest-Based Futures,False,[],[],European partnership: Forests and Forestry for a Sustainable Future. Available at: https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/48213468,['HORIZON-CL6-2025-01-CIRCBIO-15'],['text/plain'],['ForestPathways – Building Knowledge and Solutions for Resilient Forests and Sustainable Forest-Based Futures'],['2026-09-15T00:00:00.000+0000'],"['2026-12-02T11:00:00.000+0000', '2027-06-02T11:00:00.000+0000']","['<p>The FOREST Joint Call 2026 – ForestPathways supports transnational research and innovation activities across the spectrum from fundamental research to applied research and, where appropriate, demonstration activities. Projects are expected to generate new knowledge, develop practical solutions, and contribute to implementation in policy, management or industry contexts, while considering the diversity of forests and the forest-based sector.</p><p>Applicants must select the single topic that best reflects the primary focus of their proposal. Proposals may address multiple topics but will be evaluated and ranked under one primary topic.</p><p><strong>TOPIC 1 – Climate-Resilient Forest Systems: “How forests function and respond to climate change”</strong></p><p>This topic supports research and innovation addressing the resilience, adaptive capacity, and long-term sustainability of forest ecosystems under changing environmental conditions, including climate change and increasing disturbance pressures. It aims to strengthen the scientific basis for climate-resilient forest systems and support their adaptation and mitigation to climate change, within broader environmental and socioeconomic contexts.</p><p>Proposals should address, where relevant, carbon dynamics measurement, monitoring and assessment of carbon stocks and sinks; adaptation pathways and strategies; forest ecosystem processes and dynamics; disturbance regimes, including wildfires and other abiotic and biotic disturbances, pests and diseases; landscape-level interactions and spatial dynamics; and genetic diversity and adaptive capacity, including assisted migration.</p><p><strong>TOPIC 2 – Adaptive and Multifunctional Forest Management Systems: “How forests should be managed under changing conditions”</strong></p><p>This topic supports research and innovation focused on the implementation of adaptive and multifunctional forest management systems that enhance resilience, sustainability, and the provision of multiple ecosystem services. It aims to support forest management approaches capable of responding to ecological change, disturbance risks, and evolving environmental, economic, and societal demands.</p><p>Proposals should address, where relevant, silvicultural systems and management approaches supporting resilient and multifunctional forests; sustainable harvesting and wood mobilisation methods; monitoring, assessment and planning tools for adaptive management; integration of forest genetic resources into management strategies; operational, digital and technical innovations; risk reduction and adaptation strategies; and trade-offs and synergies between ecosystem services.</p><p><strong>TOPIC 3 – Timber and Innovative Wood-Based Products: “How wood is transformed into innovative products”</strong></p><p>This topic supports research and innovation on the development, performance, and uptake of timber and innovative wood-based products contributing to decarbonisation and the circular bioeconomy. It aims to advance the development and market uptake of sustainable wood-based products and systems, supporting the substitution of fossil-based and carbon-intensive materials and contributing to low-carbon construction and manufacturing.</p><p>Proposals should address, where relevant, engineered timber and timber construction systems; high-value wood-based products, chemicals and materials; substitution of fossil-based and other carbon-intensive materials; more sustainable alternatives to polluting wood treatments and processing practices; standardisation, testing and certification; circular and resource-efficient use of wood-based products; innovative use of underutilised softwood and hardwood species; innovative manufacturing technologies; and approaches to increase market demand and consumer acceptance and uptake.</p><p><strong>TOPIC 4 – Forest Value Chains, Markets and Governance: “How forest-based sectors, markets and governance are organised”</strong></p><p>This topic supports research and innovation strengthening the resilience, sustainability, and functioning of forest-based value chains, markets, and governance systems, supporting the transition towards a sustainable and circular forest-based bioeconomy. It aims to support resilient, sustainable, competitive, and innovative forest-based value chains and governance systems capable of responding to environmental, economic, and societal transitions.</p><p>Proposals should address, where relevant, forest-based value chains and market organisation; innovative business models, economic viability and investment readiness; policy, regulatory and governance instruments; barriers to market uptake and innovation deployment; cascading use, circularity and efficient resource use; skills, labour, education and workforce development; and European resilience in sustainable raw material supply, value chains, local processing capacities and forest-based economies.</p><p>The topics provide strategic direction and facilitate evaluation. They are not exhaustive and do not restrict the submission of innovative or cross-cutting proposals aligned with the overall objectives of the call.</p>']",['en'],['European partnership: Forests and Forestry for a Sustainable Future'],['8'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/48213468'],['https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/competitive-calls-cs/48213468'],['15661'],['SEDIA'],['15661COMPETITIVE_CALLen'],['FOREST'],['43108390'],['2026-09-15T00:00:00.000+0000'],['multiple cut-off'],['31094502'],,2026-09-20 09:08:50.362431+00:00
